ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,500,7,0.008,50,0.22602064612075665,0.016407066187824774,0.034200373932610904,0.014380783950347158,0.038372310273634226,0.014390809982002218
1772996441.151306,uniform,0.1,500,7,0.01,50,0.22554007246337093,0.015313620400385261,0.03367707771822971,0.012898888648374157,0.0378917366162485,0.0131254033874854
1772996441.151306,uniform,0.1,500,7,0.02,50,0.2241294424835856,0.013185604893110763,0.03220672182970946,0.009995925373105213,0.03648110663646321,0.010542690921234403
1772996441.151306,uniform,0.1,500,7,0.04,50,0.22127911232246472,0.011446791885634832,0.0292552928899881,0.0077153201943371595,0.0336307764753424,0.008533087650401228
1772996441.151306,uniform,0.1,500,7,0.06,50,0.21695052435480794,0.010042460962985436,0.02475071445246919,0.005846580920683054,0.029302188507685515,0.006874063495145824
1772996441.151306,uniform,0.1,500,7,0.08,50,0.21165383877200014,0.00879255675280147,0.019230185509538856,0.004358184836862839,0.02400550292487775,0.005384133674083467
1772996441.151306,uniform,0.1,500,7,0.1,50,0.20667292199128537,0.0079065280515012,0.01404108015905794,0.003254323343766327,0.019024586144162945,0.004228978094598003
1772996441.151306,uniform,0.1,500,8,0.002,50,0.27134485924098367,0.03304399453313177,0.082638200498649,0.03614168390452192,0.08369652339386127,0.033736741495345675
1772996441.151306,uniform,0.1,500,8,0.004,50,0.2729361097173697,0.03455811824176956,0.08420402106272828,0.03752456297181937,0.08528777387024727,0.035347255670690025
1772996441.151306,uniform,0.1,500,8,0.006,50,0.27315745863357643,0.03522023356315838,0.08453695871443473,0.038204107969379446,0.08550912278645403,0.03600179418800255
1772996441.151306,uniform,0.1,500,8,0.008,50,0.2700069309054275,0.03149429737010136,0.08057613502254331,0.03282478651490765,0.08235859505830513,0.03213524358333341
1772996441.151306,uniform,0.1,500,8,0.01,50,0.2666539766680627,0.02744668669871678,0.07673555545811768,0.027819738745248037,0.07900564082094032,0.02782608201504005
1772996441.151306,uniform,0.1,500,8,0.02,50,0.2570332573704119,0.01952760531712295,0.06650383233302848,0.01826385291265335,0.06938492152328951,0.018894486590605265
1772996441.151306,uniform,0.1,500,8,0.04,50,0.24573984292323614,0.014685567340893876,0.05484734050588551,0.01200907700255508,0.058091507076113796,0.01299789813335437
1772996441.151306,uniform,0.1,500,8,0.06,50,0.23532837670770929,0.012054405362984327,0.044103276611026816,0.00867122656625237,0.04768004086058692,0.00983866760154462
1772996441.151306,uniform,0.1,500,8,0.08,50,0.2251616116577163,0.010157274469032473,0.03355208493880036,0.0063927749943903924,0.03751327581059393,0.007552452777385748
1772996441.151306,uniform,0.1,500,8,0.1,50,0.21661103929776007,0.008855954318451563,0.024638327600428236,0.004802984166779609,0.028962703450637686,0.00584950391262063
1772996441.151306,uniform,0.1,1000,1,0.002,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.004,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.006,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.008,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.01,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.02,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,1000,1,0.04,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
