G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,15,0.1,0.1732790077751307,0.0946025659154016,0.1389607495010635,0.0949774138927728,0.138300689231192,0.094559425759821,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.05,0.1965308255934025,0.1025552462719374,0.1653179410440646,0.1033955349533129,0.1615525070494638,0.1025638497030322,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.025,0.1985218957470537,0.093601953110081,0.1683462290315812,0.0950601697232822,0.163543577203115,0.0935526978064972,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.01,0.2011053425889074,0.1083560419151169,0.1725277887474005,0.1088528884850211,0.1661270240449687,0.1083660427770545,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.001,0.2004951422761297,0.0988965819618038,0.1698676284928808,0.1013974280124885,0.1655168237321911,0.0989376675404403,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,0.0001,0.1983046452857607,0.1057935496598315,0.1688047018303383,0.1055924759091901,0.163326326741822,0.1058439817084067,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,1e-05,0.2052945351724274,0.1018995662725203,0.1759374547857208,0.1012620840932703,0.1703162166284887,0.1019097300027512,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,1e-06,0.1959119244909029,0.0948343189319452,0.1674709217836285,0.0956145557135566,0.1609336059469642,0.0948490741736439,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,1e-07,0.2002630457389477,0.106389754347162,0.1697087979675341,0.1082345219288764,0.165284727195009,0.1064512648930921,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,15,1e-08,0.2030023974302686,0.0981797520155726,0.172444085330037,0.0981818102219003,0.16802407888633,0.0981148405896133,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,500,1,0.5,0.0870928164250895,0.0030738923757643,0.0381070595418116,0.0017333149672587,0.0521144978811509,0.0030563347027961,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,500,1,0.25,0.0870826459765454,0.0030705238059462,0.0381023552941382,0.0017358596908354,0.0521043274326067,0.0030556918382845,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,500,1,0.1,0.0870826459765454,0.0030705238059462,0.0381023552941382,0.0017358596908354,0.0521043274326067,0.0030556918382845,0.0349783185439386,0.0013724219691681,10.0
